"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC11: Verify subscription in Cart page","806","subscriptionInCartPage","Regression Suite","Wed Mar 11 07:50:47 UTC 2026","passed","Wed Mar 11 07:50:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC8: Test verify all products and product detail page","2079","verifyAllProductAndProductDetailPage","Regression Suite","Wed Mar 11 07:50:51 UTC 2026","passed","Wed Mar 11 07:50:53 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC9: Test search product","2827","searchProduct","Regression Suite","Wed Mar 11 07:50:43 UTC 2026","passed","Wed Mar 11 07:50:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC7: Test verify test cases page","658","verifyTestCasesPage","Regression Suite","Wed Mar 11 07:50:58 UTC 2026","passed","Wed Mar 11 07:50:59 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC1: Test register user and delete user account successfully","6909","registerAndDeleteUserAccountSuccessfully","Regression Suite","Wed Mar 11 07:50:25 UTC 2026","passed","Wed Mar 11 07:50:32 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"Verify product quantity in cart","1880","verifyProductInCart","Regression Suite","Wed Mar 11 07:50:55 UTC 2026","passed","Wed Mar 11 07:50:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyProductInCart"
"TC3: Test login user unsuccessfully with incorrect email and password","2003","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Wed Mar 11 07:50:12 UTC 2026","passed","Wed Mar 11 07:50:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC6: Test contact us form","3086","contactUsForm","Regression Suite","Wed Mar 11 07:49:58 UTC 2026","passed","Wed Mar 11 07:50:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC2: Test login user successfully with correct email and password","8470","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Wed Mar 11 07:50:02 UTC 2026","passed","Wed Mar 11 07:50:10 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC5: Test register user with existing email","7587","registerUserWithExistingEmail","Regression Suite","Wed Mar 11 07:50:34 UTC 2026","passed","Wed Mar 11 07:50:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC12: Test add product in Cart","13264","addProductInCart","Regression Suite","Wed Mar 11 07:49:43 UTC 2026","broken","Wed Mar 11 07:49:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC4: Test logout user successfully","8215","logoutUser","Regression Suite","Wed Mar 11 07:50:15 UTC 2026","passed","Wed Mar 11 07:50:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC10: Verify subscription in home page","382","subscriptionInHomePage","Regression Suite","Wed Mar 11 07:50:50 UTC 2026","passed","Wed Mar 11 07:50:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
