"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC4: Test logout user successfully","8064","logoutUser","Regression Suite","Tue Feb 17 12:42:37 UTC 2026","passed","Tue Feb 17 12:42:45 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC7: Test verify test cases page","1275","verifyTestCasesPage","Regression Suite","Tue Feb 17 12:43:16 UTC 2026","passed","Tue Feb 17 12:43:18 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC1: Test register user and delete user account successfully","7260","registerAndDeleteUserAccountSuccessfully","Regression Suite","Tue Feb 17 12:42:47 UTC 2026","passed","Tue Feb 17 12:42:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC9: Test search product","1920","searchProduct","Regression Suite","Tue Feb 17 12:43:05 UTC 2026","passed","Tue Feb 17 12:43:07 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC5: Test register user with existing email","8749","registerUserWithExistingEmail","Regression Suite","Tue Feb 17 12:42:55 UTC 2026","passed","Tue Feb 17 12:43:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC10: Verify subscription in home page","446","subscriptionInHomePage","Regression Suite","Tue Feb 17 12:43:11 UTC 2026","passed","Tue Feb 17 12:43:12 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC8: Test verify all products and product detail page","2039","verifyAllProductAndProductDetailPage","Regression Suite","Tue Feb 17 12:43:13 UTC 2026","passed","Tue Feb 17 12:43:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC3: Test login user unsuccessfully with incorrect email and password","1847","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Tue Feb 17 12:42:34 UTC 2026","passed","Tue Feb 17 12:42:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC6: Test contact us form","3044","contactUsForm","Regression Suite","Tue Feb 17 12:42:19 UTC 2026","passed","Tue Feb 17 12:42:22 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC12: Test add product in Cart","2752","addProductInCart","Regression Suite","Tue Feb 17 12:42:15 UTC 2026","broken","Tue Feb 17 12:42:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC11: Verify subscription in Cart page","1169","subscriptionInCartPage","Regression Suite","Tue Feb 17 12:43:09 UTC 2026","passed","Tue Feb 17 12:43:10 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC2: Test login user successfully with correct email and password","8891","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Tue Feb 17 12:42:23 UTC 2026","passed","Tue Feb 17 12:42:32 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
