"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC12: Test add product in Cart","3156","addProductInCart","Regression Suite","Wed Feb 04 12:39:56 UTC 2026","passed","Wed Feb 04 12:39:59 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC9: Test search product","1411","searchProduct","Regression Suite","Wed Feb 04 12:40:38 UTC 2026","passed","Wed Feb 04 12:40:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC3: Test login user unsuccessfully with incorrect email and password","1369","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Wed Feb 04 12:40:12 UTC 2026","passed","Wed Feb 04 12:40:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC2: Test login user successfully with correct email and password","6876","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Wed Feb 04 12:40:04 UTC 2026","passed","Wed Feb 04 12:40:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC4: Test logout user successfully","6659","logoutUser","Regression Suite","Wed Feb 04 12:40:15 UTC 2026","passed","Wed Feb 04 12:40:22 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC8: Test verify all products and product detail page","1876","verifyAllProductAndProductDetailPage","Regression Suite","Wed Feb 04 12:40:45 UTC 2026","passed","Wed Feb 04 12:40:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC7: Test verify test cases page","541","verifyTestCasesPage","Regression Suite","Wed Feb 04 12:40:48 UTC 2026","passed","Wed Feb 04 12:40:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC1: Test register user and delete user account successfully","5932","registerAndDeleteUserAccountSuccessfully","Regression Suite","Wed Feb 04 12:40:23 UTC 2026","passed","Wed Feb 04 12:40:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC11: Verify subscription in Cart page","868","subscriptionInCartPage","Regression Suite","Wed Feb 04 12:40:41 UTC 2026","passed","Wed Feb 04 12:40:42 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC5: Test register user with existing email","6721","registerUserWithExistingEmail","Regression Suite","Wed Feb 04 12:40:30 UTC 2026","passed","Wed Feb 04 12:40:37 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC10: Verify subscription in home page","384","subscriptionInHomePage","Regression Suite","Wed Feb 04 12:40:43 UTC 2026","passed","Wed Feb 04 12:40:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC6: Test contact us form","2870","contactUsForm","Regression Suite","Wed Feb 04 12:40:00 UTC 2026","passed","Wed Feb 04 12:40:03 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
