"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC9: Test search product","2401","searchProduct","Regression Suite","Sun Feb 01 05:56:39 UTC 2026","passed","Sun Feb 01 05:56:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC10: Verify subscription in home page","403","subscriptionInHomePage","Regression Suite","Sun Feb 01 05:56:44 UTC 2026","passed","Sun Feb 01 05:56:44 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC2: Test login user successfully with correct email and password","5814","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sun Feb 01 05:56:10 UTC 2026","passed","Sun Feb 01 05:56:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","1347","verifyAllProductAndProductDetailPage","Regression Suite","Sun Feb 01 05:56:45 UTC 2026","passed","Sun Feb 01 05:56:47 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC7: Test verify test cases page","423","verifyTestCasesPage","Regression Suite","Sun Feb 01 05:56:47 UTC 2026","passed","Sun Feb 01 05:56:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC6: Test contact us form","12767","contactUsForm","Regression Suite","Sun Feb 01 05:55:56 UTC 2026","failed","Sun Feb 01 05:56:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC1: Test register user and delete user account successfully","5172","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sun Feb 01 05:56:26 UTC 2026","passed","Sun Feb 01 05:56:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC12: Test add product in Cart","2887","addProductInCart","Regression Suite","Sun Feb 01 05:55:52 UTC 2026","passed","Sun Feb 01 05:55:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC4: Test logout user successfully","6048","logoutUser","Regression Suite","Sun Feb 01 05:56:19 UTC 2026","passed","Sun Feb 01 05:56:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC5: Test register user with existing email","5590","registerUserWithExistingEmail","Regression Suite","Sun Feb 01 05:56:32 UTC 2026","passed","Sun Feb 01 05:56:37 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC3: Test login user unsuccessfully with incorrect email and password","1233","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sun Feb 01 05:56:16 UTC 2026","passed","Sun Feb 01 05:56:18 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC11: Verify subscription in Cart page","762","subscriptionInCartPage","Regression Suite","Sun Feb 01 05:56:42 UTC 2026","passed","Sun Feb 01 05:56:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
