"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC6: Test contact us form","12790","contactUsForm","Regression Suite","Sat Jan 31 23:15:17 UTC 2026","failed","Sat Jan 31 23:15:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC9: Test search product","1960","searchProduct","Regression Suite","Sat Jan 31 23:16:12 UTC 2026","passed","Sat Jan 31 23:16:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC3: Test login user unsuccessfully with incorrect email and password","1727","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Jan 31 23:15:41 UTC 2026","passed","Sat Jan 31 23:15:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC10: Verify subscription in home page","429","subscriptionInHomePage","Regression Suite","Sat Jan 31 23:16:18 UTC 2026","passed","Sat Jan 31 23:16:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC4: Test logout user successfully","8640","logoutUser","Regression Suite","Sat Jan 31 23:15:44 UTC 2026","passed","Sat Jan 31 23:15:53 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC12: Test add product in Cart","3993","addProductInCart","Regression Suite","Sat Jan 31 23:15:12 UTC 2026","passed","Sat Jan 31 23:15:16 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC1: Test register user and delete user account successfully","6450","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Jan 31 23:15:55 UTC 2026","passed","Sat Jan 31 23:16:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC7: Test verify test cases page","784","verifyTestCasesPage","Regression Suite","Sat Jan 31 23:16:24 UTC 2026","passed","Sat Jan 31 23:16:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC2: Test login user successfully with correct email and password","8308","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Jan 31 23:15:32 UTC 2026","passed","Sat Jan 31 23:15:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC11: Verify subscription in Cart page","1166","subscriptionInCartPage","Regression Suite","Sat Jan 31 23:16:15 UTC 2026","passed","Sat Jan 31 23:16:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC5: Test register user with existing email","7973","registerUserWithExistingEmail","Regression Suite","Sat Jan 31 23:16:03 UTC 2026","passed","Sat Jan 31 23:16:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC8: Test verify all products and product detail page","2416","verifyAllProductAndProductDetailPage","Regression Suite","Sat Jan 31 23:16:20 UTC 2026","passed","Sat Jan 31 23:16:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
