"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC8: Test verify all products and product detail page","11488","verifyAllProductAndProductDetailPage","Regression Suite","Thu Feb 05 05:51:34 UTC 2026","broken","Thu Feb 05 05:51:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC5: Test register user with existing email","14453","registerUserWithExistingEmail","Regression Suite","Thu Feb 05 05:51:12 UTC 2026","broken","Thu Feb 05 05:51:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC2: Test login user successfully with correct email and password","17621","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Thu Feb 05 05:50:36 UTC 2026","broken","Thu Feb 05 05:50:53 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC10: Verify subscription in home page","407","subscriptionInHomePage","Regression Suite","Thu Feb 05 05:51:33 UTC 2026","passed","Thu Feb 05 05:51:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC12: Test add product in Cart","3431","addProductInCart","Regression Suite","Thu Feb 05 05:50:27 UTC 2026","passed","Thu Feb 05 05:50:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC7: Test verify test cases page","10361","verifyTestCasesPage","Regression Suite","Thu Feb 05 05:51:47 UTC 2026","broken","Thu Feb 05 05:51:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC1: Test register user and delete user account successfully","5385","registerAndDeleteUserAccountSuccessfully","Regression Suite","Thu Feb 05 05:51:06 UTC 2026","passed","Thu Feb 05 05:51:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC4: Test logout user successfully","7544","logoutUser","Regression Suite","Thu Feb 05 05:50:57 UTC 2026","passed","Thu Feb 05 05:51:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC6: Test contact us form","2825","contactUsForm","Regression Suite","Thu Feb 05 05:50:31 UTC 2026","passed","Thu Feb 05 05:50:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC11: Verify subscription in Cart page","915","subscriptionInCartPage","Regression Suite","Thu Feb 05 05:51:31 UTC 2026","passed","Thu Feb 05 05:51:32 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC9: Test search product","1435","searchProduct","Regression Suite","Thu Feb 05 05:51:28 UTC 2026","passed","Thu Feb 05 05:51:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC3: Test login user unsuccessfully with incorrect email and password","1452","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Thu Feb 05 05:50:55 UTC 2026","passed","Thu Feb 05 05:50:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
