"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC10: Verify subscription in home page","449","subscriptionInHomePage","Regression Suite","Mon Feb 16 06:02:39 UTC 2026","passed","Mon Feb 16 06:02:39 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC11: Verify subscription in Cart page","827","subscriptionInCartPage","Regression Suite","Mon Feb 16 06:02:36 UTC 2026","passed","Mon Feb 16 06:02:37 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC1: Test register user and delete user account successfully","5247","registerAndDeleteUserAccountSuccessfully","Regression Suite","Mon Feb 16 06:02:19 UTC 2026","passed","Mon Feb 16 06:02:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC2: Test login user successfully with correct email and password","7444","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Mon Feb 16 06:02:00 UTC 2026","passed","Mon Feb 16 06:02:07 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC9: Test search product","1436","searchProduct","Regression Suite","Mon Feb 16 06:02:34 UTC 2026","passed","Mon Feb 16 06:02:35 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC5: Test register user with existing email","6542","registerUserWithExistingEmail","Regression Suite","Mon Feb 16 06:02:26 UTC 2026","passed","Mon Feb 16 06:02:32 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC6: Test contact us form","2713","contactUsForm","Regression Suite","Mon Feb 16 06:01:56 UTC 2026","passed","Mon Feb 16 06:01:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC12: Test add product in Cart","3097","addProductInCart","Regression Suite","Mon Feb 16 06:01:51 UTC 2026","passed","Mon Feb 16 06:01:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC7: Test verify test cases page","538","verifyTestCasesPage","Regression Suite","Mon Feb 16 06:02:43 UTC 2026","passed","Mon Feb 16 06:02:44 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC4: Test logout user successfully","6481","logoutUser","Regression Suite","Mon Feb 16 06:02:12 UTC 2026","passed","Mon Feb 16 06:02:18 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC3: Test login user unsuccessfully with incorrect email and password","1939","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Mon Feb 16 06:02:08 UTC 2026","passed","Mon Feb 16 06:02:10 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","1582","verifyAllProductAndProductDetailPage","Regression Suite","Mon Feb 16 06:02:40 UTC 2026","passed","Mon Feb 16 06:02:42 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
