"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC1: Test register user and delete user account successfully","4952","registerAndDeleteUserAccountSuccessfully","Regression Suite","Thu Feb 12 12:45:08 UTC 2026","passed","Thu Feb 12 12:45:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC6: Test contact us form","2415","contactUsForm","Regression Suite","Thu Feb 12 12:44:47 UTC 2026","passed","Thu Feb 12 12:44:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC11: Verify subscription in Cart page","780","subscriptionInCartPage","Regression Suite","Thu Feb 12 12:45:24 UTC 2026","passed","Thu Feb 12 12:45:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC2: Test login user successfully with correct email and password","6268","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Thu Feb 12 12:44:51 UTC 2026","passed","Thu Feb 12 12:44:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC4: Test logout user successfully","5925","logoutUser","Regression Suite","Thu Feb 12 12:45:01 UTC 2026","passed","Thu Feb 12 12:45:07 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC3: Test login user unsuccessfully with incorrect email and password","1270","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Thu Feb 12 12:44:58 UTC 2026","passed","Thu Feb 12 12:45:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC7: Test verify test cases page","433","verifyTestCasesPage","Regression Suite","Thu Feb 12 12:45:30 UTC 2026","passed","Thu Feb 12 12:45:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC12: Test add product in Cart","3441","addProductInCart","Regression Suite","Thu Feb 12 12:44:42 UTC 2026","passed","Thu Feb 12 12:44:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC9: Test search product","1402","searchProduct","Regression Suite","Thu Feb 12 12:45:21 UTC 2026","passed","Thu Feb 12 12:45:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC8: Test verify all products and product detail page","1351","verifyAllProductAndProductDetailPage","Regression Suite","Thu Feb 12 12:45:28 UTC 2026","passed","Thu Feb 12 12:45:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC10: Verify subscription in home page","410","subscriptionInHomePage","Regression Suite","Thu Feb 12 12:45:26 UTC 2026","passed","Thu Feb 12 12:45:26 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC5: Test register user with existing email","5828","registerUserWithExistingEmail","Regression Suite","Thu Feb 12 12:45:14 UTC 2026","passed","Thu Feb 12 12:45:20 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
