"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC10: Verify subscription in home page","402","subscriptionInHomePage","Regression Suite","Wed Jan 28 23:21:26 UTC 2026","passed","Wed Jan 28 23:21:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC6: Test contact us form","12812","contactUsForm","Regression Suite","Wed Jan 28 23:20:17 UTC 2026","failed","Wed Jan 28 23:20:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC3: Test login user unsuccessfully with incorrect email and password","1716","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Wed Jan 28 23:20:41 UTC 2026","passed","Wed Jan 28 23:20:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC7: Test verify test cases page","1219","verifyTestCasesPage","Regression Suite","Wed Jan 28 23:21:32 UTC 2026","passed","Wed Jan 28 23:21:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC9: Test search product","2210","searchProduct","Regression Suite","Wed Jan 28 23:21:20 UTC 2026","passed","Wed Jan 28 23:21:22 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC4: Test logout user successfully","8026","logoutUser","Regression Suite","Wed Jan 28 23:20:45 UTC 2026","passed","Wed Jan 28 23:20:53 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC11: Verify subscription in Cart page","1007","subscriptionInCartPage","Regression Suite","Wed Jan 28 23:21:24 UTC 2026","passed","Wed Jan 28 23:21:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC8: Test verify all products and product detail page","2236","verifyAllProductAndProductDetailPage","Regression Suite","Wed Jan 28 23:21:28 UTC 2026","passed","Wed Jan 28 23:21:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC1: Test register user and delete user account successfully","15707","registerAndDeleteUserAccountSuccessfully","Regression Suite","Wed Jan 28 23:20:54 UTC 2026","broken","Wed Jan 28 23:21:10 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC5: Test register user with existing email","7366","registerUserWithExistingEmail","Regression Suite","Wed Jan 28 23:21:11 UTC 2026","passed","Wed Jan 28 23:21:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC12: Test add product in Cart","4205","addProductInCart","Regression Suite","Wed Jan 28 23:20:11 UTC 2026","passed","Wed Jan 28 23:20:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC2: Test login user successfully with correct email and password","8582","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Wed Jan 28 23:20:31 UTC 2026","passed","Wed Jan 28 23:20:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
