"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC3: Test login user unsuccessfully with incorrect email and password","1511","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Thu Jan 22 12:32:31 UTC 2026","passed","Thu Jan 22 12:32:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC5: Test register user with existing email","7440","registerUserWithExistingEmail","Regression Suite","Thu Jan 22 12:32:50 UTC 2026","passed","Thu Jan 22 12:32:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC8: Test verify all products and product detail page","2074","verifyAllProductAndProductDetailPage","Regression Suite","Thu Jan 22 12:33:06 UTC 2026","passed","Thu Jan 22 12:33:08 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC11: Verify subscription in Cart page","1029","subscriptionInCartPage","Regression Suite","Thu Jan 22 12:33:02 UTC 2026","passed","Thu Jan 22 12:33:03 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC1: Test register user and delete user account successfully","6061","registerAndDeleteUserAccountSuccessfully","Regression Suite","Thu Jan 22 12:32:43 UTC 2026","passed","Thu Jan 22 12:32:49 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC7: Test verify test cases page","1208","verifyTestCasesPage","Regression Suite","Thu Jan 22 12:33:09 UTC 2026","passed","Thu Jan 22 12:33:10 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC12: Test add product in Cart","3805","addProductInCart","Regression Suite","Thu Jan 22 12:32:04 UTC 2026","broken","Thu Jan 22 12:32:08 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC6: Test contact us form","3230","contactUsForm","Regression Suite","Thu Jan 22 12:32:09 UTC 2026","passed","Thu Jan 22 12:32:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC2: Test login user successfully with correct email and password","16173","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Thu Jan 22 12:32:14 UTC 2026","broken","Thu Jan 22 12:32:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC10: Verify subscription in home page","455","subscriptionInHomePage","Regression Suite","Thu Jan 22 12:33:04 UTC 2026","passed","Thu Jan 22 12:33:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC4: Test logout user successfully","7216","logoutUser","Regression Suite","Thu Jan 22 12:32:34 UTC 2026","passed","Thu Jan 22 12:32:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC9: Test search product","1728","searchProduct","Regression Suite","Thu Jan 22 12:32:59 UTC 2026","passed","Thu Jan 22 12:33:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
