"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC5: Test register user with existing email","7443","registerUserWithExistingEmail","Regression Suite","Sun Jan 18 17:54:45 UTC 2026","passed","Sun Jan 18 17:54:52 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC11: Verify subscription in Cart page","897","subscriptionInCartPage","Regression Suite","Sun Jan 18 17:54:57 UTC 2026","passed","Sun Jan 18 17:54:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC7: Test verify test cases page","621","verifyTestCasesPage","Regression Suite","Sun Jan 18 17:55:05 UTC 2026","passed","Sun Jan 18 17:55:06 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC10: Verify subscription in home page","399","subscriptionInHomePage","Regression Suite","Sun Jan 18 17:55:00 UTC 2026","passed","Sun Jan 18 17:55:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC8: Test verify all products and product detail page","1923","verifyAllProductAndProductDetailPage","Regression Suite","Sun Jan 18 17:55:02 UTC 2026","passed","Sun Jan 18 17:55:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC9: Test search product","1552","searchProduct","Regression Suite","Sun Jan 18 17:54:54 UTC 2026","passed","Sun Jan 18 17:54:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC2: Test login user successfully with correct email and password","7327","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sun Jan 18 17:54:16 UTC 2026","passed","Sun Jan 18 17:54:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC12: Test add product in Cart","3887","addProductInCart","Regression Suite","Sun Jan 18 17:54:07 UTC 2026","passed","Sun Jan 18 17:54:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC1: Test register user and delete user account successfully","6252","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sun Jan 18 17:54:37 UTC 2026","passed","Sun Jan 18 17:54:44 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC3: Test login user unsuccessfully with incorrect email and password","1464","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sun Jan 18 17:54:25 UTC 2026","passed","Sun Jan 18 17:54:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC4: Test logout user successfully","7261","logoutUser","Regression Suite","Sun Jan 18 17:54:28 UTC 2026","passed","Sun Jan 18 17:54:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC6: Test contact us form","2493","contactUsForm","Regression Suite","Sun Jan 18 17:54:12 UTC 2026","passed","Sun Jan 18 17:54:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
