"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC4: Test logout user successfully","7646","logoutUser","Regression Suite","Sat Jan 24 05:16:40 UTC 2026","passed","Sat Jan 24 05:16:47 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC8: Test verify all products and product detail page","1834","verifyAllProductAndProductDetailPage","Regression Suite","Sat Jan 24 05:17:15 UTC 2026","passed","Sat Jan 24 05:17:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC12: Test add product in Cart","3875","addProductInCart","Regression Suite","Sat Jan 24 05:16:17 UTC 2026","passed","Sat Jan 24 05:16:21 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC9: Test search product","2039","searchProduct","Regression Suite","Sat Jan 24 05:17:07 UTC 2026","passed","Sat Jan 24 05:17:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC2: Test login user successfully with correct email and password","8798","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Jan 24 05:16:26 UTC 2026","passed","Sat Jan 24 05:16:35 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC5: Test register user with existing email","8502","registerUserWithExistingEmail","Regression Suite","Sat Jan 24 05:16:57 UTC 2026","passed","Sat Jan 24 05:17:06 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC10: Verify subscription in home page","402","subscriptionInHomePage","Regression Suite","Sat Jan 24 05:17:13 UTC 2026","passed","Sat Jan 24 05:17:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC3: Test login user unsuccessfully with incorrect email and password","1668","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Jan 24 05:16:37 UTC 2026","passed","Sat Jan 24 05:16:38 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC6: Test contact us form","2733","contactUsForm","Regression Suite","Sat Jan 24 05:16:22 UTC 2026","passed","Sat Jan 24 05:16:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC7: Test verify test cases page","694","verifyTestCasesPage","Regression Suite","Sat Jan 24 05:17:18 UTC 2026","passed","Sat Jan 24 05:17:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC11: Verify subscription in Cart page","1005","subscriptionInCartPage","Regression Suite","Sat Jan 24 05:17:11 UTC 2026","passed","Sat Jan 24 05:17:12 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC1: Test register user and delete user account successfully","6932","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Jan 24 05:16:49 UTC 2026","passed","Sat Jan 24 05:16:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
