"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC2: Test login user successfully with correct email and password","7029","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Fri Feb 13 12:39:39 UTC 2026","passed","Fri Feb 13 12:39:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC12: Test add product in Cart","3216","addProductInCart","Regression Suite","Fri Feb 13 12:39:20 UTC 2026","passed","Fri Feb 13 12:39:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC8: Test verify all products and product detail page","1778","verifyAllProductAndProductDetailPage","Regression Suite","Fri Feb 13 12:40:20 UTC 2026","passed","Fri Feb 13 12:40:22 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC3: Test login user unsuccessfully with incorrect email and password","1503","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Fri Feb 13 12:39:47 UTC 2026","passed","Fri Feb 13 12:39:49 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC4: Test logout user successfully","6557","logoutUser","Regression Suite","Fri Feb 13 12:39:50 UTC 2026","passed","Fri Feb 13 12:39:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC5: Test register user with existing email","6523","registerUserWithExistingEmail","Regression Suite","Fri Feb 13 12:40:05 UTC 2026","passed","Fri Feb 13 12:40:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC6: Test contact us form","13071","contactUsForm","Regression Suite","Fri Feb 13 12:39:24 UTC 2026","failed","Fri Feb 13 12:39:37 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC10: Verify subscription in home page","412","subscriptionInHomePage","Regression Suite","Fri Feb 13 12:40:19 UTC 2026","passed","Fri Feb 13 12:40:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC11: Verify subscription in Cart page","950","subscriptionInCartPage","Regression Suite","Fri Feb 13 12:40:16 UTC 2026","passed","Fri Feb 13 12:40:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC1: Test register user and delete user account successfully","5397","registerAndDeleteUserAccountSuccessfully","Regression Suite","Fri Feb 13 12:39:58 UTC 2026","passed","Fri Feb 13 12:40:03 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC9: Test search product","2252","searchProduct","Regression Suite","Fri Feb 13 12:40:13 UTC 2026","passed","Fri Feb 13 12:40:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC7: Test verify test cases page","1358","verifyTestCasesPage","Regression Suite","Fri Feb 13 12:40:23 UTC 2026","passed","Fri Feb 13 12:40:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
