"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC3: Test login user unsuccessfully with incorrect email and password","1679","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Mon Feb 02 12:39:29 UTC 2026","passed","Mon Feb 02 12:39:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC1: Test register user and delete user account successfully","5907","registerAndDeleteUserAccountSuccessfully","Regression Suite","Mon Feb 02 12:39:42 UTC 2026","passed","Mon Feb 02 12:39:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC8: Test verify all products and product detail page","1923","verifyAllProductAndProductDetailPage","Regression Suite","Mon Feb 02 12:40:11 UTC 2026","passed","Mon Feb 02 12:40:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC7: Test verify test cases page","1189","verifyTestCasesPage","Regression Suite","Mon Feb 02 12:40:14 UTC 2026","passed","Mon Feb 02 12:40:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC10: Verify subscription in home page","361","subscriptionInHomePage","Regression Suite","Mon Feb 02 12:40:09 UTC 2026","passed","Mon Feb 02 12:40:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC4: Test logout user successfully","8690","logoutUser","Regression Suite","Mon Feb 02 12:39:32 UTC 2026","passed","Mon Feb 02 12:39:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC6: Test contact us form","2927","contactUsForm","Regression Suite","Mon Feb 02 12:39:16 UTC 2026","failed","Mon Feb 02 12:39:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC5: Test register user with existing email","8330","registerUserWithExistingEmail","Regression Suite","Mon Feb 02 12:39:50 UTC 2026","passed","Mon Feb 02 12:39:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC11: Verify subscription in Cart page","1087","subscriptionInCartPage","Regression Suite","Mon Feb 02 12:40:04 UTC 2026","passed","Mon Feb 02 12:40:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC2: Test login user successfully with correct email and password","7656","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Mon Feb 02 12:39:20 UTC 2026","passed","Mon Feb 02 12:39:28 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC9: Test search product","1895","searchProduct","Regression Suite","Mon Feb 02 12:40:00 UTC 2026","passed","Mon Feb 02 12:40:02 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC12: Test add product in Cart","3600","addProductInCart","Regression Suite","Mon Feb 02 12:39:11 UTC 2026","broken","Mon Feb 02 12:39:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
