"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC1: Test register user and delete user account successfully","5382","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Feb 07 12:31:09 UTC 2026","passed","Sat Feb 07 12:31:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC3: Test login user unsuccessfully with incorrect email and password","1375","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Feb 07 12:30:59 UTC 2026","passed","Sat Feb 07 12:31:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC10: Verify subscription in home page","380","subscriptionInHomePage","Regression Suite","Sat Feb 07 12:31:28 UTC 2026","passed","Sat Feb 07 12:31:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC5: Test register user with existing email","6216","registerUserWithExistingEmail","Regression Suite","Sat Feb 07 12:31:16 UTC 2026","passed","Sat Feb 07 12:31:22 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC9: Test search product","1371","searchProduct","Regression Suite","Sat Feb 07 12:31:24 UTC 2026","passed","Sat Feb 07 12:31:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC4: Test logout user successfully","6698","logoutUser","Regression Suite","Sat Feb 07 12:31:01 UTC 2026","passed","Sat Feb 07 12:31:08 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC7: Test verify test cases page","706","verifyTestCasesPage","Regression Suite","Sat Feb 07 12:31:33 UTC 2026","passed","Sat Feb 07 12:31:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC8: Test verify all products and product detail page","1945","verifyAllProductAndProductDetailPage","Regression Suite","Sat Feb 07 12:31:30 UTC 2026","passed","Sat Feb 07 12:31:32 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC12: Test add product in Cart","2918","addProductInCart","Regression Suite","Sat Feb 07 12:30:42 UTC 2026","passed","Sat Feb 07 12:30:45 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC2: Test login user successfully with correct email and password","6374","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Feb 07 12:30:51 UTC 2026","passed","Sat Feb 07 12:30:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC6: Test contact us form","2735","contactUsForm","Regression Suite","Sat Feb 07 12:30:47 UTC 2026","passed","Sat Feb 07 12:30:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC11: Verify subscription in Cart page","811","subscriptionInCartPage","Regression Suite","Sat Feb 07 12:31:26 UTC 2026","passed","Sat Feb 07 12:31:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
