"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC2: Test login user successfully with correct email and password","6383","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Feb 07 23:22:25 UTC 2026","passed","Sat Feb 07 23:22:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC6: Test contact us form","2750","contactUsForm","Regression Suite","Sat Feb 07 23:22:21 UTC 2026","passed","Sat Feb 07 23:22:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC11: Verify subscription in Cart page","791","subscriptionInCartPage","Regression Suite","Sat Feb 07 23:23:00 UTC 2026","passed","Sat Feb 07 23:23:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC12: Test add product in Cart","3747","addProductInCart","Regression Suite","Sat Feb 07 23:22:16 UTC 2026","passed","Sat Feb 07 23:22:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC4: Test logout user successfully","6068","logoutUser","Regression Suite","Sat Feb 07 23:22:35 UTC 2026","passed","Sat Feb 07 23:22:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC7: Test verify test cases page","454","verifyTestCasesPage","Regression Suite","Sat Feb 07 23:23:06 UTC 2026","passed","Sat Feb 07 23:23:06 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC9: Test search product","1400","searchProduct","Regression Suite","Sat Feb 07 23:22:57 UTC 2026","passed","Sat Feb 07 23:22:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC10: Verify subscription in home page","390","subscriptionInHomePage","Regression Suite","Sat Feb 07 23:23:01 UTC 2026","passed","Sat Feb 07 23:23:02 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC3: Test login user unsuccessfully with incorrect email and password","1156","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Feb 07 23:22:33 UTC 2026","passed","Sat Feb 07 23:22:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC1: Test register user and delete user account successfully","5160","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Feb 07 23:22:43 UTC 2026","passed","Sat Feb 07 23:22:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC5: Test register user with existing email","6343","registerUserWithExistingEmail","Regression Suite","Sat Feb 07 23:22:49 UTC 2026","passed","Sat Feb 07 23:22:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC8: Test verify all products and product detail page","1538","verifyAllProductAndProductDetailPage","Regression Suite","Sat Feb 07 23:23:03 UTC 2026","passed","Sat Feb 07 23:23:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
