"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC4: Test logout user successfully","6517","logoutUser","Regression Suite","Tue Feb 17 15:20:15 UTC 2026","passed","Tue Feb 17 15:20:21 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"Verify product quantity in cart","1654","verifyProductInCart","Regression Suite","Tue Feb 17 15:20:47 UTC 2026","passed","Tue Feb 17 15:20:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyProductInCart"
"TC5: Test register user with existing email","5920","registerUserWithExistingEmail","Regression Suite","Tue Feb 17 15:20:30 UTC 2026","passed","Tue Feb 17 15:20:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC10: Verify subscription in home page","525","subscriptionInHomePage","Regression Suite","Tue Feb 17 15:20:43 UTC 2026","passed","Tue Feb 17 15:20:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC9: Test search product","1534","searchProduct","Regression Suite","Tue Feb 17 15:20:37 UTC 2026","passed","Tue Feb 17 15:20:39 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC7: Test verify test cases page","636","verifyTestCasesPage","Regression Suite","Tue Feb 17 15:20:49 UTC 2026","passed","Tue Feb 17 15:20:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC1: Test register user and delete user account successfully","6110","registerAndDeleteUserAccountSuccessfully","Regression Suite","Tue Feb 17 15:20:23 UTC 2026","broken","Tue Feb 17 15:20:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC2: Test login user successfully with correct email and password","6315","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Tue Feb 17 15:20:05 UTC 2026","passed","Tue Feb 17 15:20:12 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC3: Test login user unsuccessfully with incorrect email and password","1255","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Tue Feb 17 15:20:13 UTC 2026","passed","Tue Feb 17 15:20:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC6: Test contact us form","2569","contactUsForm","Regression Suite","Tue Feb 17 15:20:02 UTC 2026","passed","Tue Feb 17 15:20:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC12: Test add product in Cart","2948","addProductInCart","Regression Suite","Tue Feb 17 15:19:58 UTC 2026","passed","Tue Feb 17 15:20:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC8: Test verify all products and product detail page","1454","verifyAllProductAndProductDetailPage","Regression Suite","Tue Feb 17 15:20:44 UTC 2026","passed","Tue Feb 17 15:20:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC11: Verify subscription in Cart page","1061","subscriptionInCartPage","Regression Suite","Tue Feb 17 15:20:40 UTC 2026","passed","Tue Feb 17 15:20:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
