"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC5: Test register user with existing email","9535","registerUserWithExistingEmail","Regression Suite","Sun Jan 25 23:14:58 UTC 2026","passed","Sun Jan 25 23:15:07 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC12: Test add product in Cart","4268","addProductInCart","Regression Suite","Sun Jan 25 23:14:15 UTC 2026","passed","Sun Jan 25 23:14:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC2: Test login user successfully with correct email and password","9353","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sun Jan 25 23:14:25 UTC 2026","passed","Sun Jan 25 23:14:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC1: Test register user and delete user account successfully","7321","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sun Jan 25 23:14:49 UTC 2026","passed","Sun Jan 25 23:14:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC6: Test contact us form","2858","contactUsForm","Regression Suite","Sun Jan 25 23:14:20 UTC 2026","passed","Sun Jan 25 23:14:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC4: Test logout user successfully","7889","logoutUser","Regression Suite","Sun Jan 25 23:14:40 UTC 2026","passed","Sun Jan 25 23:14:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC7: Test verify test cases page","735","verifyTestCasesPage","Regression Suite","Sun Jan 25 23:15:20 UTC 2026","passed","Sun Jan 25 23:15:21 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC3: Test login user unsuccessfully with incorrect email and password","2181","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sun Jan 25 23:14:36 UTC 2026","passed","Sun Jan 25 23:14:38 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC9: Test search product","2390","searchProduct","Regression Suite","Sun Jan 25 23:15:09 UTC 2026","passed","Sun Jan 25 23:15:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC10: Verify subscription in home page","434","subscriptionInHomePage","Regression Suite","Sun Jan 25 23:15:15 UTC 2026","passed","Sun Jan 25 23:15:16 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC11: Verify subscription in Cart page","1029","subscriptionInCartPage","Regression Suite","Sun Jan 25 23:15:13 UTC 2026","passed","Sun Jan 25 23:15:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC8: Test verify all products and product detail page","1914","verifyAllProductAndProductDetailPage","Regression Suite","Sun Jan 25 23:15:17 UTC 2026","passed","Sun Jan 25 23:15:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
