"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC1: Test register user and delete user account successfully","5758","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Feb 14 05:40:15 UTC 2026","passed","Sat Feb 14 05:40:20 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC9: Test search product","1561","searchProduct","Regression Suite","Sat Feb 14 05:40:30 UTC 2026","passed","Sat Feb 14 05:40:32 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC12: Test add product in Cart","4086","addProductInCart","Regression Suite","Sat Feb 14 05:39:37 UTC 2026","passed","Sat Feb 14 05:39:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC7: Test verify test cases page","954","verifyTestCasesPage","Regression Suite","Sat Feb 14 05:40:40 UTC 2026","passed","Sat Feb 14 05:40:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC11: Verify subscription in Cart page","822","subscriptionInCartPage","Regression Suite","Sat Feb 14 05:40:33 UTC 2026","passed","Sat Feb 14 05:40:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC2: Test login user successfully with correct email and password","15089","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Feb 14 05:39:46 UTC 2026","broken","Sat Feb 14 05:40:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC4: Test logout user successfully","7800","logoutUser","Regression Suite","Sat Feb 14 05:40:05 UTC 2026","passed","Sat Feb 14 05:40:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC8: Test verify all products and product detail page","1531","verifyAllProductAndProductDetailPage","Regression Suite","Sat Feb 14 05:40:37 UTC 2026","passed","Sat Feb 14 05:40:39 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC6: Test contact us form","2652","contactUsForm","Regression Suite","Sat Feb 14 05:39:42 UTC 2026","passed","Sat Feb 14 05:39:45 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC5: Test register user with existing email","7158","registerUserWithExistingEmail","Regression Suite","Sat Feb 14 05:40:22 UTC 2026","passed","Sat Feb 14 05:40:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC3: Test login user unsuccessfully with incorrect email and password","1321","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Feb 14 05:40:02 UTC 2026","passed","Sat Feb 14 05:40:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC10: Verify subscription in home page","422","subscriptionInHomePage","Regression Suite","Sat Feb 14 05:40:35 UTC 2026","passed","Sat Feb 14 05:40:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
