"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC5: Test register user with existing email","7219","registerUserWithExistingEmail","Regression Suite","Tue Feb 17 05:53:46 UTC 2026","passed","Tue Feb 17 05:53:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC9: Test search product","1495","searchProduct","Regression Suite","Tue Feb 17 05:53:55 UTC 2026","passed","Tue Feb 17 05:53:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC8: Test verify all products and product detail page","1489","verifyAllProductAndProductDetailPage","Regression Suite","Tue Feb 17 05:54:01 UTC 2026","passed","Tue Feb 17 05:54:02 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC1: Test register user and delete user account successfully","5949","registerAndDeleteUserAccountSuccessfully","Regression Suite","Tue Feb 17 05:53:39 UTC 2026","passed","Tue Feb 17 05:53:45 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC12: Test add product in Cart","2488","addProductInCart","Regression Suite","Tue Feb 17 05:53:12 UTC 2026","passed","Tue Feb 17 05:53:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC10: Verify subscription in home page","442","subscriptionInHomePage","Regression Suite","Tue Feb 17 05:53:59 UTC 2026","passed","Tue Feb 17 05:54:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC6: Test contact us form","2580","contactUsForm","Regression Suite","Tue Feb 17 05:53:16 UTC 2026","passed","Tue Feb 17 05:53:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC2: Test login user successfully with correct email and password","7064","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Tue Feb 17 05:53:20 UTC 2026","passed","Tue Feb 17 05:53:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC7: Test verify test cases page","1075","verifyTestCasesPage","Regression Suite","Tue Feb 17 05:54:04 UTC 2026","passed","Tue Feb 17 05:54:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC3: Test login user unsuccessfully with incorrect email and password","1468","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Tue Feb 17 05:53:28 UTC 2026","passed","Tue Feb 17 05:53:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC4: Test logout user successfully","6713","logoutUser","Regression Suite","Tue Feb 17 05:53:31 UTC 2026","passed","Tue Feb 17 05:53:37 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC11: Verify subscription in Cart page","829","subscriptionInCartPage","Regression Suite","Tue Feb 17 05:53:57 UTC 2026","passed","Tue Feb 17 05:53:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
