"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC3: Test login user unsuccessfully with incorrect email and password","1592","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Wed Feb 11 06:05:45 UTC 2026","passed","Wed Feb 11 06:05:47 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","1750","verifyAllProductAndProductDetailPage","Regression Suite","Wed Feb 11 06:06:30 UTC 2026","passed","Wed Feb 11 06:06:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC11: Verify subscription in Cart page","949","subscriptionInCartPage","Regression Suite","Wed Feb 11 06:06:26 UTC 2026","passed","Wed Feb 11 06:06:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC6: Test contact us form","12907","contactUsForm","Regression Suite","Wed Feb 11 06:05:15 UTC 2026","failed","Wed Feb 11 06:05:28 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC10: Verify subscription in home page","419","subscriptionInHomePage","Regression Suite","Wed Feb 11 06:06:28 UTC 2026","passed","Wed Feb 11 06:06:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC7: Test verify test cases page","1142","verifyTestCasesPage","Regression Suite","Wed Feb 11 06:06:33 UTC 2026","passed","Wed Feb 11 06:06:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC4: Test logout user successfully","7336","logoutUser","Regression Suite","Wed Feb 11 06:05:48 UTC 2026","passed","Wed Feb 11 06:05:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC12: Test add product in Cart","12145","addProductInCart","Regression Suite","Wed Feb 11 06:05:01 UTC 2026","broken","Wed Feb 11 06:05:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC2: Test login user successfully with correct email and password","15114","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Wed Feb 11 06:05:29 UTC 2026","broken","Wed Feb 11 06:05:44 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC1: Test register user and delete user account successfully","15651","registerAndDeleteUserAccountSuccessfully","Regression Suite","Wed Feb 11 06:05:57 UTC 2026","broken","Wed Feb 11 06:06:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC5: Test register user with existing email","7683","registerUserWithExistingEmail","Regression Suite","Wed Feb 11 06:06:14 UTC 2026","passed","Wed Feb 11 06:06:21 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC9: Test search product","1771","searchProduct","Regression Suite","Wed Feb 11 06:06:23 UTC 2026","passed","Wed Feb 11 06:06:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
