"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC4: Test logout user successfully","7060","logoutUser","Regression Suite","Wed Jan 28 05:23:10 UTC 2026","passed","Wed Jan 28 05:23:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC12: Test add product in Cart","4027","addProductInCart","Regression Suite","Wed Jan 28 05:22:51 UTC 2026","passed","Wed Jan 28 05:22:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC10: Verify subscription in home page","398","subscriptionInHomePage","Regression Suite","Wed Jan 28 05:23:41 UTC 2026","passed","Wed Jan 28 05:23:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC5: Test register user with existing email","7663","registerUserWithExistingEmail","Regression Suite","Wed Jan 28 05:23:26 UTC 2026","passed","Wed Jan 28 05:23:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC6: Test contact us form","2471","contactUsForm","Regression Suite","Wed Jan 28 05:22:56 UTC 2026","passed","Wed Jan 28 05:22:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC7: Test verify test cases page","489","verifyTestCasesPage","Regression Suite","Wed Jan 28 05:23:45 UTC 2026","passed","Wed Jan 28 05:23:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC2: Test login user successfully with correct email and password","6655","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Wed Jan 28 05:23:00 UTC 2026","passed","Wed Jan 28 05:23:06 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC3: Test login user unsuccessfully with incorrect email and password","1246","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Wed Jan 28 05:23:08 UTC 2026","passed","Wed Jan 28 05:23:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC11: Verify subscription in Cart page","1041","subscriptionInCartPage","Regression Suite","Wed Jan 28 05:23:38 UTC 2026","passed","Wed Jan 28 05:23:39 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC1: Test register user and delete user account successfully","6267","registerAndDeleteUserAccountSuccessfully","Regression Suite","Wed Jan 28 05:23:19 UTC 2026","passed","Wed Jan 28 05:23:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC8: Test verify all products and product detail page","1694","verifyAllProductAndProductDetailPage","Regression Suite","Wed Jan 28 05:23:42 UTC 2026","passed","Wed Jan 28 05:23:44 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC9: Test search product","1635","searchProduct","Regression Suite","Wed Jan 28 05:23:35 UTC 2026","passed","Wed Jan 28 05:23:37 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
