"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC8: Test verify all products and product detail page","4144","verifyAllProductAndProductDetailPage","Regression Suite","Fri Jan 30 05:42:28 UTC 2026","passed","Fri Jan 30 05:42:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC6: Test contact us form","12818","contactUsForm","Regression Suite","Fri Jan 30 05:40:57 UTC 2026","failed","Fri Jan 30 05:41:10 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC1: Test register user and delete user account successfully","16325","registerAndDeleteUserAccountSuccessfully","Regression Suite","Fri Jan 30 05:41:40 UTC 2026","broken","Fri Jan 30 05:41:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC11: Verify subscription in Cart page","1049","subscriptionInCartPage","Regression Suite","Fri Jan 30 05:42:22 UTC 2026","passed","Fri Jan 30 05:42:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC5: Test register user with existing email","8750","registerUserWithExistingEmail","Regression Suite","Fri Jan 30 05:41:59 UTC 2026","passed","Fri Jan 30 05:42:08 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC7: Test verify test cases page","1276","verifyTestCasesPage","Regression Suite","Fri Jan 30 05:42:35 UTC 2026","passed","Fri Jan 30 05:42:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC2: Test login user successfully with correct email and password","9055","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Fri Jan 30 05:41:14 UTC 2026","passed","Fri Jan 30 05:41:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC10: Verify subscription in home page","394","subscriptionInHomePage","Regression Suite","Fri Jan 30 05:42:25 UTC 2026","passed","Fri Jan 30 05:42:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC3: Test login user unsuccessfully with incorrect email and password","2457","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Fri Jan 30 05:41:24 UTC 2026","passed","Fri Jan 30 05:41:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC4: Test logout user successfully","10868","logoutUser","Regression Suite","Fri Jan 30 05:41:28 UTC 2026","passed","Fri Jan 30 05:41:39 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC12: Test add product in Cart","3871","addProductInCart","Regression Suite","Fri Jan 30 05:40:52 UTC 2026","passed","Fri Jan 30 05:40:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC9: Test search product","10389","searchProduct","Regression Suite","Fri Jan 30 05:42:10 UTC 2026","broken","Fri Jan 30 05:42:20 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
