"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC8: Test verify all products and product detail page","911","verifyAllProductAndProductDetailPage","Regression Suite","Sun Jan 25 05:24:31 UTC 2026","passed","Sun Jan 25 05:24:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC10: Verify subscription in home page","389","subscriptionInHomePage","Regression Suite","Sun Jan 25 05:24:29 UTC 2026","passed","Sun Jan 25 05:24:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC9: Test search product","1823","searchProduct","Regression Suite","Sun Jan 25 05:24:22 UTC 2026","passed","Sun Jan 25 05:24:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC3: Test login user unsuccessfully with incorrect email and password","2080","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sun Jan 25 05:23:52 UTC 2026","passed","Sun Jan 25 05:23:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC7: Test verify test cases page","10518","verifyTestCasesPage","Regression Suite","Sun Jan 25 05:24:33 UTC 2026","broken","Sun Jan 25 05:24:44 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC2: Test login user successfully with correct email and password","18331","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sun Jan 25 05:23:32 UTC 2026","broken","Sun Jan 25 05:23:51 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC6: Test contact us form","3094","contactUsForm","Regression Suite","Sun Jan 25 05:23:28 UTC 2026","passed","Sun Jan 25 05:23:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC1: Test register user and delete user account successfully","5380","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sun Jan 25 05:24:07 UTC 2026","broken","Sun Jan 25 05:24:12 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC12: Test add product in Cart","2112","addProductInCart","Regression Suite","Sun Jan 25 05:23:24 UTC 2026","broken","Sun Jan 25 05:23:26 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC5: Test register user with existing email","7028","registerUserWithExistingEmail","Regression Suite","Sun Jan 25 05:24:14 UTC 2026","passed","Sun Jan 25 05:24:21 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC11: Verify subscription in Cart page","1086","subscriptionInCartPage","Regression Suite","Sun Jan 25 05:24:26 UTC 2026","passed","Sun Jan 25 05:24:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC4: Test logout user successfully","9851","logoutUser","Regression Suite","Sun Jan 25 05:23:55 UTC 2026","passed","Sun Jan 25 05:24:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
