"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC7: Test verify test cases page","417","verifyTestCasesPage","Regression Suite","Tue Jan 20 12:32:57 UTC 2026","passed","Tue Jan 20 12:32:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC12: Test add product in Cart","3408","addProductInCart","Regression Suite","Tue Jan 20 12:32:11 UTC 2026","passed","Tue Jan 20 12:32:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC10: Verify subscription in home page","404","subscriptionInHomePage","Regression Suite","Tue Jan 20 12:32:53 UTC 2026","passed","Tue Jan 20 12:32:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC8: Test verify all products and product detail page","1235","verifyAllProductAndProductDetailPage","Regression Suite","Tue Jan 20 12:32:55 UTC 2026","passed","Tue Jan 20 12:32:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC6: Test contact us form","2298","contactUsForm","Regression Suite","Tue Jan 20 12:32:15 UTC 2026","passed","Tue Jan 20 12:32:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC2: Test login user successfully with correct email and password","6802","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Tue Jan 20 12:32:19 UTC 2026","passed","Tue Jan 20 12:32:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC3: Test login user unsuccessfully with incorrect email and password","1191","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Tue Jan 20 12:32:26 UTC 2026","passed","Tue Jan 20 12:32:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC5: Test register user with existing email","6364","registerUserWithExistingEmail","Regression Suite","Tue Jan 20 12:32:42 UTC 2026","passed","Tue Jan 20 12:32:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC4: Test logout user successfully","6367","logoutUser","Regression Suite","Tue Jan 20 12:32:29 UTC 2026","passed","Tue Jan 20 12:32:35 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC9: Test search product","1261","searchProduct","Regression Suite","Tue Jan 20 12:32:49 UTC 2026","passed","Tue Jan 20 12:32:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC11: Verify subscription in Cart page","738","subscriptionInCartPage","Regression Suite","Tue Jan 20 12:32:52 UTC 2026","passed","Tue Jan 20 12:32:52 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC1: Test register user and delete user account successfully","4874","registerAndDeleteUserAccountSuccessfully","Regression Suite","Tue Jan 20 12:32:36 UTC 2026","passed","Tue Jan 20 12:32:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
