"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC12: Test add product in Cart","3077","addProductInCart","Regression Suite","Sat Jan 31 05:34:08 UTC 2026","passed","Sat Jan 31 05:34:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC1: Test register user and delete user account successfully","4893","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Jan 31 05:34:43 UTC 2026","passed","Sat Jan 31 05:34:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC5: Test register user with existing email","7058","registerUserWithExistingEmail","Regression Suite","Sat Jan 31 05:34:49 UTC 2026","passed","Sat Jan 31 05:34:56 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC2: Test login user successfully with correct email and password","6308","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Jan 31 05:34:27 UTC 2026","passed","Sat Jan 31 05:34:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","1459","verifyAllProductAndProductDetailPage","Regression Suite","Sat Jan 31 05:35:03 UTC 2026","passed","Sat Jan 31 05:35:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC11: Verify subscription in Cart page","950","subscriptionInCartPage","Regression Suite","Sat Jan 31 05:34:59 UTC 2026","passed","Sat Jan 31 05:35:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC7: Test verify test cases page","757","verifyTestCasesPage","Regression Suite","Sat Jan 31 05:35:05 UTC 2026","passed","Sat Jan 31 05:35:06 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC4: Test logout user successfully","5935","logoutUser","Regression Suite","Sat Jan 31 05:34:36 UTC 2026","passed","Sat Jan 31 05:34:42 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC6: Test contact us form","12817","contactUsForm","Regression Suite","Sat Jan 31 05:34:13 UTC 2026","failed","Sat Jan 31 05:34:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC10: Verify subscription in home page","406","subscriptionInHomePage","Regression Suite","Sat Jan 31 05:35:01 UTC 2026","passed","Sat Jan 31 05:35:02 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC3: Test login user unsuccessfully with incorrect email and password","1085","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Jan 31 05:34:34 UTC 2026","passed","Sat Jan 31 05:34:35 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC9: Test search product","1313","searchProduct","Regression Suite","Sat Jan 31 05:34:57 UTC 2026","passed","Sat Jan 31 05:34:58 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
