"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC5: Test register user with existing email","8340","registerUserWithExistingEmail","Regression Suite","Mon Jan 26 23:16:26 UTC 2026","passed","Mon Jan 26 23:16:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC1: Test register user and delete user account successfully","7200","registerAndDeleteUserAccountSuccessfully","Regression Suite","Mon Jan 26 23:16:17 UTC 2026","passed","Mon Jan 26 23:16:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC7: Test verify test cases page","854","verifyTestCasesPage","Regression Suite","Mon Jan 26 23:16:47 UTC 2026","passed","Mon Jan 26 23:16:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC4: Test logout user successfully","11861","logoutUser","Regression Suite","Mon Jan 26 23:16:04 UTC 2026","broken","Mon Jan 26 23:16:16 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC2: Test login user successfully with correct email and password","18665","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Mon Jan 26 23:15:40 UTC 2026","broken","Mon Jan 26 23:15:59 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC12: Test add product in Cart","3846","addProductInCart","Regression Suite","Mon Jan 26 23:15:20 UTC 2026","passed","Mon Jan 26 23:15:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC6: Test contact us form","13088","contactUsForm","Regression Suite","Mon Jan 26 23:15:26 UTC 2026","failed","Mon Jan 26 23:15:39 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC10: Verify subscription in home page","429","subscriptionInHomePage","Regression Suite","Mon Jan 26 23:16:42 UTC 2026","passed","Mon Jan 26 23:16:42 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC11: Verify subscription in Cart page","960","subscriptionInCartPage","Regression Suite","Mon Jan 26 23:16:39 UTC 2026","passed","Mon Jan 26 23:16:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC9: Test search product","2103","searchProduct","Regression Suite","Mon Jan 26 23:16:36 UTC 2026","passed","Mon Jan 26 23:16:38 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC3: Test login user unsuccessfully with incorrect email and password","1702","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Mon Jan 26 23:16:01 UTC 2026","passed","Mon Jan 26 23:16:02 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","1858","verifyAllProductAndProductDetailPage","Regression Suite","Mon Jan 26 23:16:44 UTC 2026","passed","Mon Jan 26 23:16:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
