"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC11: Verify subscription in Cart page","1087","subscriptionInCartPage","Regression Suite","Sat Feb 14 23:17:29 UTC 2026","passed","Sat Feb 14 23:17:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC10: Verify subscription in home page","363","subscriptionInHomePage","Regression Suite","Sat Feb 14 23:17:31 UTC 2026","passed","Sat Feb 14 23:17:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC12: Test add product in Cart","3376","addProductInCart","Regression Suite","Sat Feb 14 23:16:35 UTC 2026","passed","Sat Feb 14 23:16:38 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC3: Test login user unsuccessfully with incorrect email and password","1184","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Feb 14 23:17:01 UTC 2026","passed","Sat Feb 14 23:17:03 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","1522","verifyAllProductAndProductDetailPage","Regression Suite","Sat Feb 14 23:17:33 UTC 2026","passed","Sat Feb 14 23:17:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC7: Test verify test cases page","527","verifyTestCasesPage","Regression Suite","Sat Feb 14 23:17:36 UTC 2026","passed","Sat Feb 14 23:17:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC9: Test search product","1389","searchProduct","Regression Suite","Sat Feb 14 23:17:26 UTC 2026","passed","Sat Feb 14 23:17:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC5: Test register user with existing email","6387","registerUserWithExistingEmail","Regression Suite","Sat Feb 14 23:17:19 UTC 2026","passed","Sat Feb 14 23:17:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC4: Test logout user successfully","6501","logoutUser","Regression Suite","Sat Feb 14 23:17:04 UTC 2026","passed","Sat Feb 14 23:17:10 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC2: Test login user successfully with correct email and password","6242","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Feb 14 23:16:54 UTC 2026","passed","Sat Feb 14 23:17:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC6: Test contact us form","13109","contactUsForm","Regression Suite","Sat Feb 14 23:16:40 UTC 2026","failed","Sat Feb 14 23:16:53 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC1: Test register user and delete user account successfully","5506","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Feb 14 23:17:12 UTC 2026","passed","Sat Feb 14 23:17:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
