"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC4: Test logout user successfully","6389","logoutUser","Regression Suite","Sat Jan 24 23:14:29 UTC 2026","passed","Sat Jan 24 23:14:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC9: Test search product","1673","searchProduct","Regression Suite","Sat Jan 24 23:14:51 UTC 2026","passed","Sat Jan 24 23:14:53 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC12: Test add product in Cart","3285","addProductInCart","Regression Suite","Sat Jan 24 23:14:00 UTC 2026","passed","Sat Jan 24 23:14:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC6: Test contact us form","12940","contactUsForm","Regression Suite","Sat Jan 24 23:14:05 UTC 2026","failed","Sat Jan 24 23:14:18 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC2: Test login user successfully with correct email and password","6068","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Jan 24 23:14:19 UTC 2026","passed","Sat Jan 24 23:14:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC7: Test verify test cases page","449","verifyTestCasesPage","Regression Suite","Sat Jan 24 23:15:00 UTC 2026","passed","Sat Jan 24 23:15:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC10: Verify subscription in home page","411","subscriptionInHomePage","Regression Suite","Sat Jan 24 23:14:56 UTC 2026","passed","Sat Jan 24 23:14:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC3: Test login user unsuccessfully with incorrect email and password","1219","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Jan 24 23:14:27 UTC 2026","passed","Sat Jan 24 23:14:28 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC5: Test register user with existing email","6130","registerUserWithExistingEmail","Regression Suite","Sat Jan 24 23:14:44 UTC 2026","passed","Sat Jan 24 23:14:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC11: Verify subscription in Cart page","811","subscriptionInCartPage","Regression Suite","Sat Jan 24 23:14:54 UTC 2026","passed","Sat Jan 24 23:14:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC1: Test register user and delete user account successfully","5753","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Jan 24 23:14:37 UTC 2026","passed","Sat Jan 24 23:14:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC8: Test verify all products and product detail page","1275","verifyAllProductAndProductDetailPage","Regression Suite","Sat Jan 24 23:14:58 UTC 2026","passed","Sat Jan 24 23:14:59 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
