"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC2: Test login user successfully with correct email and password","7337","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sun Feb 01 23:17:56 UTC 2026","passed","Sun Feb 01 23:18:03 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC4: Test logout user successfully","6903","logoutUser","Regression Suite","Sun Feb 01 23:18:07 UTC 2026","passed","Sun Feb 01 23:18:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC7: Test verify test cases page","490","verifyTestCasesPage","Regression Suite","Sun Feb 01 23:18:40 UTC 2026","passed","Sun Feb 01 23:18:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC6: Test contact us form","2874","contactUsForm","Regression Suite","Sun Feb 01 23:17:52 UTC 2026","passed","Sun Feb 01 23:17:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC11: Verify subscription in Cart page","859","subscriptionInCartPage","Regression Suite","Sun Feb 01 23:18:33 UTC 2026","passed","Sun Feb 01 23:18:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC8: Test verify all products and product detail page","1652","verifyAllProductAndProductDetailPage","Regression Suite","Sun Feb 01 23:18:37 UTC 2026","passed","Sun Feb 01 23:18:38 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC12: Test add product in Cart","3845","addProductInCart","Regression Suite","Sun Feb 01 23:17:47 UTC 2026","passed","Sun Feb 01 23:17:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC3: Test login user unsuccessfully with incorrect email and password","1419","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sun Feb 01 23:18:04 UTC 2026","passed","Sun Feb 01 23:18:06 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC5: Test register user with existing email","6693","registerUserWithExistingEmail","Regression Suite","Sun Feb 01 23:18:23 UTC 2026","passed","Sun Feb 01 23:18:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC1: Test register user and delete user account successfully","5787","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sun Feb 01 23:18:16 UTC 2026","passed","Sun Feb 01 23:18:21 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC10: Verify subscription in home page","413","subscriptionInHomePage","Regression Suite","Sun Feb 01 23:18:35 UTC 2026","passed","Sun Feb 01 23:18:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC9: Test search product","1358","searchProduct","Regression Suite","Sun Feb 01 23:18:30 UTC 2026","passed","Sun Feb 01 23:18:32 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
