"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test verify all products and product detail page","1449","testVerifyAllProductAndProductDetailPage","Regression Suite","Thu Jan 08 16:22:29 UTC 2026","passed","Thu Jan 08 16:22:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testVerifyAllProductAndProductDetailPage"
"Test register user and delete user account successfully","4542","testRegisterAndDeleteUserAccountSuccessfully","Regression Suite","Thu Jan 08 16:22:12 UTC 2026","broken","Thu Jan 08 16:22:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testRegisterAndDeleteUserAccountSuccessfully"
"Verify subscription in home page","414","testSubcription","Regression Suite","Thu Jan 08 16:22:27 UTC 2026","passed","Thu Jan 08 16:22:28 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testSubcription"
"Test login user successfully with correct email and password","6569","testLoginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Thu Jan 08 16:21:55 UTC 2026","passed","Thu Jan 08 16:22:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testLoginSuccessfullyWithCorrectEmailAndPassword"
"Test login user unsuccessfully with incorrect email and password","1177","testLoginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Thu Jan 08 16:22:02 UTC 2026","passed","Thu Jan 08 16:22:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testLoginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"Test verify test cases page","467","testVerifyTestCasesPage","Regression Suite","Thu Jan 08 16:22:31 UTC 2026","passed","Thu Jan 08 16:22:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testVerifyTestCasesPage"
"Test logout user successfully","6185","testLogoutUser","Regression Suite","Thu Jan 08 16:22:05 UTC 2026","passed","Thu Jan 08 16:22:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testLogoutUser"
"Test search product","1419","testSearchProduct","Regression Suite","Thu Jan 08 16:22:25 UTC 2026","passed","Thu Jan 08 16:22:26 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testSearchProduct"
"Test register user with existing email","5863","testRegisterUserWithExistingEmail","Regression Suite","Thu Jan 08 16:22:18 UTC 2026","passed","Thu Jan 08 16:22:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testRegisterUserWithExistingEmail"
"Test contact us form","2630","testContactUsForm","Regression Suite","Thu Jan 08 16:21:51 UTC 2026","passed","Thu Jan 08 16:21:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","testContactUsForm"
