"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC6: Test contact us form","12783","contactUsForm","Regression Suite","Sat Jan 24 12:26:10 UTC 2026","failed","Sat Jan 24 12:26:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC12: Test add product in Cart","3042","addProductInCart","Regression Suite","Sat Jan 24 12:26:05 UTC 2026","passed","Sat Jan 24 12:26:08 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC1: Test register user and delete user account successfully","5848","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Jan 24 12:26:43 UTC 2026","passed","Sat Jan 24 12:26:49 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC2: Test login user successfully with correct email and password","6895","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Jan 24 12:26:24 UTC 2026","passed","Sat Jan 24 12:26:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC9: Test search product","10523","searchProduct","Regression Suite","Sat Jan 24 12:26:58 UTC 2026","broken","Sat Jan 24 12:27:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC8: Test verify all products and product detail page","1631","verifyAllProductAndProductDetailPage","Regression Suite","Sat Jan 24 12:27:14 UTC 2026","passed","Sat Jan 24 12:27:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC3: Test login user unsuccessfully with incorrect email and password","1953","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Jan 24 12:26:32 UTC 2026","passed","Sat Jan 24 12:26:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC4: Test logout user successfully","6755","logoutUser","Regression Suite","Sat Jan 24 12:26:35 UTC 2026","passed","Sat Jan 24 12:26:42 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC5: Test register user with existing email","7300","registerUserWithExistingEmail","Regression Suite","Sat Jan 24 12:26:50 UTC 2026","passed","Sat Jan 24 12:26:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC10: Verify subscription in home page","403","subscriptionInHomePage","Regression Suite","Sat Jan 24 12:27:12 UTC 2026","passed","Sat Jan 24 12:27:12 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC7: Test verify test cases page","630","verifyTestCasesPage","Regression Suite","Sat Jan 24 12:27:16 UTC 2026","passed","Sat Jan 24 12:27:17 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC11: Verify subscription in Cart page","946","subscriptionInCartPage","Regression Suite","Sat Jan 24 12:27:10 UTC 2026","passed","Sat Jan 24 12:27:11 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
