"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC7: Test verify test cases page","509","verifyTestCasesPage","Regression Suite","Wed Jan 28 12:33:09 UTC 2026","passed","Wed Jan 28 12:33:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC2: Test login user successfully with correct email and password","6888","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Wed Jan 28 12:32:27 UTC 2026","passed","Wed Jan 28 12:32:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC5: Test register user with existing email","6279","registerUserWithExistingEmail","Regression Suite","Wed Jan 28 12:32:53 UTC 2026","passed","Wed Jan 28 12:32:59 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC6: Test contact us form","3494","contactUsForm","Regression Suite","Wed Jan 28 12:32:22 UTC 2026","passed","Wed Jan 28 12:32:26 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC8: Test verify all products and product detail page","1624","verifyAllProductAndProductDetailPage","Regression Suite","Wed Jan 28 12:33:06 UTC 2026","passed","Wed Jan 28 12:33:08 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC9: Test search product","1432","searchProduct","Regression Suite","Wed Jan 28 12:33:00 UTC 2026","passed","Wed Jan 28 12:33:02 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC1: Test register user and delete user account successfully","5767","registerAndDeleteUserAccountSuccessfully","Regression Suite","Wed Jan 28 12:32:46 UTC 2026","passed","Wed Jan 28 12:32:51 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC11: Verify subscription in Cart page","800","subscriptionInCartPage","Regression Suite","Wed Jan 28 12:33:03 UTC 2026","passed","Wed Jan 28 12:33:04 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC10: Verify subscription in home page","370","subscriptionInHomePage","Regression Suite","Wed Jan 28 12:33:05 UTC 2026","passed","Wed Jan 28 12:33:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC4: Test logout user successfully","6475","logoutUser","Regression Suite","Wed Jan 28 12:32:38 UTC 2026","passed","Wed Jan 28 12:32:44 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC3: Test login user unsuccessfully with incorrect email and password","1204","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Wed Jan 28 12:32:35 UTC 2026","passed","Wed Jan 28 12:32:37 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC12: Test add product in Cart","3518","addProductInCart","Regression Suite","Wed Jan 28 12:32:17 UTC 2026","passed","Wed Jan 28 12:32:21 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
