"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC7: Test verify test cases page","721","verifyTestCasesPage","Regression Suite","Mon Feb 09 12:48:55 UTC 2026","passed","Mon Feb 09 12:48:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC5: Test register user with existing email","8226","registerUserWithExistingEmail","Regression Suite","Mon Feb 09 12:48:35 UTC 2026","passed","Mon Feb 09 12:48:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC2: Test login user successfully with correct email and password","7956","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Mon Feb 09 12:48:01 UTC 2026","passed","Mon Feb 09 12:48:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","1839","verifyAllProductAndProductDetailPage","Regression Suite","Mon Feb 09 12:48:51 UTC 2026","passed","Mon Feb 09 12:48:53 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC4: Test logout user successfully","7699","logoutUser","Regression Suite","Mon Feb 09 12:48:18 UTC 2026","passed","Mon Feb 09 12:48:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC9: Test search product","1787","searchProduct","Regression Suite","Mon Feb 09 12:48:44 UTC 2026","passed","Mon Feb 09 12:48:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC10: Verify subscription in home page","415","subscriptionInHomePage","Regression Suite","Mon Feb 09 12:48:50 UTC 2026","passed","Mon Feb 09 12:48:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC1: Test register user and delete user account successfully","6557","registerAndDeleteUserAccountSuccessfully","Regression Suite","Mon Feb 09 12:48:27 UTC 2026","passed","Mon Feb 09 12:48:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC11: Verify subscription in Cart page","1068","subscriptionInCartPage","Regression Suite","Mon Feb 09 12:48:47 UTC 2026","passed","Mon Feb 09 12:48:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC12: Test add product in Cart","3556","addProductInCart","Regression Suite","Mon Feb 09 12:47:52 UTC 2026","passed","Mon Feb 09 12:47:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC3: Test login user unsuccessfully with incorrect email and password","2009","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Mon Feb 09 12:48:14 UTC 2026","passed","Mon Feb 09 12:48:16 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC6: Test contact us form","2992","contactUsForm","Regression Suite","Mon Feb 09 12:47:57 UTC 2026","passed","Mon Feb 09 12:48:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
