"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC7: Test verify test cases page","574","verifyTestCasesPage","Regression Suite","Tue Jan 27 12:32:30 UTC 2026","passed","Tue Jan 27 12:32:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC4: Test logout user successfully","6877","logoutUser","Regression Suite","Tue Jan 27 12:31:48 UTC 2026","passed","Tue Jan 27 12:31:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC3: Test login user unsuccessfully with incorrect email and password","1244","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Tue Jan 27 12:31:45 UTC 2026","passed","Tue Jan 27 12:31:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC11: Verify subscription in Cart page","1115","subscriptionInCartPage","Regression Suite","Tue Jan 27 12:32:14 UTC 2026","passed","Tue Jan 27 12:32:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC6: Test contact us form","2674","contactUsForm","Regression Suite","Tue Jan 27 12:31:32 UTC 2026","passed","Tue Jan 27 12:31:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC12: Test add product in Cart","3112","addProductInCart","Regression Suite","Tue Jan 27 12:31:27 UTC 2026","passed","Tue Jan 27 12:31:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC1: Test register user and delete user account successfully","5478","registerAndDeleteUserAccountSuccessfully","Regression Suite","Tue Jan 27 12:31:56 UTC 2026","passed","Tue Jan 27 12:32:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC10: Verify subscription in home page","397","subscriptionInHomePage","Regression Suite","Tue Jan 27 12:32:16 UTC 2026","passed","Tue Jan 27 12:32:16 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC2: Test login user successfully with correct email and password","8512","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Tue Jan 27 12:31:36 UTC 2026","passed","Tue Jan 27 12:31:44 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","11505","verifyAllProductAndProductDetailPage","Regression Suite","Tue Jan 27 12:32:18 UTC 2026","broken","Tue Jan 27 12:32:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC9: Test search product","1683","searchProduct","Regression Suite","Tue Jan 27 12:32:10 UTC 2026","passed","Tue Jan 27 12:32:12 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC5: Test register user with existing email","6547","registerUserWithExistingEmail","Regression Suite","Tue Jan 27 12:32:02 UTC 2026","passed","Tue Jan 27 12:32:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
