"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test verify test cases page","510","verifyTestCasesPage","Regression Suite","Fri Jan 09 10:22:06 UTC 2026","passed","Fri Jan 09 10:22:07 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"Test register user and delete user account successfully","6246","registerAndDeleteUserAccountSuccessfully","Regression Suite","Fri Jan 09 10:21:44 UTC 2026","passed","Fri Jan 09 10:21:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"Test logout user successfully","5651","logoutUser","Regression Suite","Fri Jan 09 10:21:37 UTC 2026","passed","Fri Jan 09 10:21:42 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"Test register user with existing email","5717","registerUserWithExistingEmail","Regression Suite","Fri Jan 09 10:21:51 UTC 2026","passed","Fri Jan 09 10:21:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"Verify subscription in Cart page","727","subscriptionInCartPage","Regression Suite","Fri Jan 09 10:22:02 UTC 2026","passed","Fri Jan 09 10:22:02 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"Verify subscription in home page","405","subcriptionInHomePage","Regression Suite","Fri Jan 09 10:22:00 UTC 2026","passed","Fri Jan 09 10:22:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subcriptionInHomePage"
"Test login user unsuccessfully with incorrect email and password","1176","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Fri Jan 09 10:21:34 UTC 2026","passed","Fri Jan 09 10:21:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"Test login user successfully with correct email and password","6202","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Fri Jan 09 10:21:27 UTC 2026","passed","Fri Jan 09 10:21:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"Test verify all products and product detail page","1806","verifyAllProductAndProductDetailPage","Regression Suite","Fri Jan 09 10:22:03 UTC 2026","passed","Fri Jan 09 10:22:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"Test search product","1446","searchProduct","Regression Suite","Fri Jan 09 10:21:58 UTC 2026","passed","Fri Jan 09 10:21:59 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"Test contact us form","2613","contactUsForm","Regression Suite","Fri Jan 09 10:21:23 UTC 2026","passed","Fri Jan 09 10:21:26 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
