"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC12: Test add product in Cart","3602","addProductInCart","Regression Suite","Mon Feb 02 23:21:48 UTC 2026","passed","Mon Feb 02 23:21:51 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC3: Test login user unsuccessfully with incorrect email and password","1017","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Mon Feb 02 23:22:14 UTC 2026","passed","Mon Feb 02 23:22:16 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC4: Test logout user successfully","6682","logoutUser","Regression Suite","Mon Feb 02 23:22:17 UTC 2026","passed","Mon Feb 02 23:22:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC2: Test login user successfully with correct email and password","7685","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Mon Feb 02 23:22:06 UTC 2026","passed","Mon Feb 02 23:22:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC1: Test register user and delete user account successfully","5030","registerAndDeleteUserAccountSuccessfully","Regression Suite","Mon Feb 02 23:22:25 UTC 2026","passed","Mon Feb 02 23:22:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC9: Test search product","2081","searchProduct","Regression Suite","Mon Feb 02 23:22:39 UTC 2026","passed","Mon Feb 02 23:22:41 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC5: Test register user with existing email","6366","registerUserWithExistingEmail","Regression Suite","Mon Feb 02 23:22:32 UTC 2026","passed","Mon Feb 02 23:22:38 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC8: Test verify all products and product detail page","1352","verifyAllProductAndProductDetailPage","Regression Suite","Mon Feb 02 23:22:47 UTC 2026","passed","Mon Feb 02 23:22:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC10: Verify subscription in home page","379","subscriptionInHomePage","Regression Suite","Mon Feb 02 23:22:45 UTC 2026","passed","Mon Feb 02 23:22:45 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC6: Test contact us form","11797","contactUsForm","Regression Suite","Mon Feb 02 23:21:53 UTC 2026","broken","Mon Feb 02 23:22:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC11: Verify subscription in Cart page","985","subscriptionInCartPage","Regression Suite","Mon Feb 02 23:22:42 UTC 2026","passed","Mon Feb 02 23:22:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC7: Test verify test cases page","388","verifyTestCasesPage","Regression Suite","Mon Feb 02 23:22:49 UTC 2026","passed","Mon Feb 02 23:22:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
