"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC10: Verify subscription in home page","395","subscriptionInHomePage","Regression Suite","Tue Jan 13 06:30:36 UTC 2026","passed","Tue Jan 13 06:30:37 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC4: Test logout user successfully","10608","logoutUser","Regression Suite","Tue Jan 13 06:29:58 UTC 2026","passed","Tue Jan 13 06:30:09 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC7: Test verify test cases page","779","verifyTestCasesPage","Regression Suite","Tue Jan 13 06:30:42 UTC 2026","passed","Tue Jan 13 06:30:42 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC2: Test login user successfully with correct email and password","18471","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Tue Jan 13 06:29:35 UTC 2026","broken","Tue Jan 13 06:29:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC5: Test register user with existing email","9128","registerUserWithExistingEmail","Regression Suite","Tue Jan 13 06:30:20 UTC 2026","passed","Tue Jan 13 06:30:29 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC3: Test login user unsuccessfully with incorrect email and password","1820","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Tue Jan 13 06:29:55 UTC 2026","passed","Tue Jan 13 06:29:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC11: Verify subscription in Cart page","1028","subscriptionInCartPage","Regression Suite","Tue Jan 13 06:30:34 UTC 2026","passed","Tue Jan 13 06:30:35 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC8: Test verify all products and product detail page","2105","verifyAllProductAndProductDetailPage","Regression Suite","Tue Jan 13 06:30:38 UTC 2026","passed","Tue Jan 13 06:30:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC1: Test register user and delete user account successfully","7966","registerAndDeleteUserAccountSuccessfully","Regression Suite","Tue Jan 13 06:30:11 UTC 2026","passed","Tue Jan 13 06:30:19 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC9: Test search product","2122","searchProduct","Regression Suite","Tue Jan 13 06:30:30 UTC 2026","passed","Tue Jan 13 06:30:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC6: Test contact us form","3333","contactUsForm","Regression Suite","Tue Jan 13 06:29:30 UTC 2026","passed","Tue Jan 13 06:29:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
