"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC4: Test logout user successfully","6189","logoutUser","Regression Suite","Sat Feb 14 12:30:27 UTC 2026","passed","Sat Feb 14 12:30:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC2: Test login user successfully with correct email and password","5800","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sat Feb 14 12:30:18 UTC 2026","passed","Sat Feb 14 12:30:24 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC7: Test verify test cases page","470","verifyTestCasesPage","Regression Suite","Sat Feb 14 12:30:58 UTC 2026","passed","Sat Feb 14 12:30:59 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC12: Test add product in Cart","2614","addProductInCart","Regression Suite","Sat Feb 14 12:29:59 UTC 2026","broken","Sat Feb 14 12:30:02 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC6: Test contact us form","13065","contactUsForm","Regression Suite","Sat Feb 14 12:30:03 UTC 2026","failed","Sat Feb 14 12:30:16 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC9: Test search product","1392","searchProduct","Regression Suite","Sat Feb 14 12:30:49 UTC 2026","passed","Sat Feb 14 12:30:50 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC11: Verify subscription in Cart page","1112","subscriptionInCartPage","Regression Suite","Sat Feb 14 12:30:51 UTC 2026","passed","Sat Feb 14 12:30:53 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC3: Test login user unsuccessfully with incorrect email and password","1177","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sat Feb 14 12:30:25 UTC 2026","passed","Sat Feb 14 12:30:26 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC10: Verify subscription in home page","440","subscriptionInHomePage","Regression Suite","Sat Feb 14 12:30:54 UTC 2026","passed","Sat Feb 14 12:30:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC5: Test register user with existing email","6058","registerUserWithExistingEmail","Regression Suite","Sat Feb 14 12:30:41 UTC 2026","passed","Sat Feb 14 12:30:47 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC8: Test verify all products and product detail page","1371","verifyAllProductAndProductDetailPage","Regression Suite","Sat Feb 14 12:30:56 UTC 2026","passed","Sat Feb 14 12:30:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC1: Test register user and delete user account successfully","5196","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sat Feb 14 12:30:35 UTC 2026","passed","Sat Feb 14 12:30:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
