"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC5: Test register user with existing email","8217","registerUserWithExistingEmail","Regression Suite","Fri Feb 06 12:40:24 UTC 2026","passed","Fri Feb 06 12:40:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC8: Test verify all products and product detail page","1947","verifyAllProductAndProductDetailPage","Regression Suite","Fri Feb 06 12:40:41 UTC 2026","passed","Fri Feb 06 12:40:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC6: Test contact us form","2875","contactUsForm","Regression Suite","Fri Feb 06 12:39:51 UTC 2026","passed","Fri Feb 06 12:39:54 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC2: Test login user successfully with correct email and password","7965","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Fri Feb 06 12:39:55 UTC 2026","passed","Fri Feb 06 12:40:03 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC3: Test login user unsuccessfully with incorrect email and password","1741","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Fri Feb 06 12:40:04 UTC 2026","passed","Fri Feb 06 12:40:06 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC10: Verify subscription in home page","441","subscriptionInHomePage","Regression Suite","Fri Feb 06 12:40:40 UTC 2026","passed","Fri Feb 06 12:40:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC4: Test logout user successfully","7733","logoutUser","Regression Suite","Fri Feb 06 12:40:07 UTC 2026","passed","Fri Feb 06 12:40:15 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC12: Test add product in Cart","3824","addProductInCart","Regression Suite","Fri Feb 06 12:39:45 UTC 2026","passed","Fri Feb 06 12:39:49 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC1: Test register user and delete user account successfully","6530","registerAndDeleteUserAccountSuccessfully","Regression Suite","Fri Feb 06 12:40:16 UTC 2026","passed","Fri Feb 06 12:40:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC9: Test search product","1720","searchProduct","Regression Suite","Fri Feb 06 12:40:34 UTC 2026","passed","Fri Feb 06 12:40:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC11: Verify subscription in Cart page","973","subscriptionInCartPage","Regression Suite","Fri Feb 06 12:40:37 UTC 2026","passed","Fri Feb 06 12:40:38 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC7: Test verify test cases page","782","verifyTestCasesPage","Regression Suite","Fri Feb 06 12:40:44 UTC 2026","passed","Fri Feb 06 12:40:45 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
