"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC1: Test register user and delete user account successfully","13236","registerAndDeleteUserAccountSuccessfully","Regression Suite","Fri Jan 23 05:23:01 UTC 2026","passed","Fri Jan 23 05:23:14 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC7: Test verify test cases page","669","verifyTestCasesPage","Regression Suite","Fri Jan 23 05:23:48 UTC 2026","passed","Fri Jan 23 05:23:48 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC9: Test search product","3788","searchProduct","Regression Suite","Fri Jan 23 05:23:29 UTC 2026","passed","Fri Jan 23 05:23:33 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC11: Verify subscription in Cart page","998","subscriptionInCartPage","Regression Suite","Fri Jan 23 05:23:35 UTC 2026","passed","Fri Jan 23 05:23:36 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC10: Verify subscription in home page","380","subscriptionInHomePage","Regression Suite","Fri Jan 23 05:23:39 UTC 2026","passed","Fri Jan 23 05:23:39 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC4: Test logout user successfully","13670","logoutUser","Regression Suite","Fri Jan 23 05:22:46 UTC 2026","passed","Fri Jan 23 05:22:59 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC5: Test register user with existing email","11501","registerUserWithExistingEmail","Regression Suite","Fri Jan 23 05:23:16 UTC 2026","passed","Fri Jan 23 05:23:28 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC6: Test contact us form","2778","contactUsForm","Regression Suite","Fri Jan 23 05:22:28 UTC 2026","passed","Fri Jan 23 05:22:31 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC2: Test login user successfully with correct email and password","7999","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Fri Jan 23 05:22:32 UTC 2026","passed","Fri Jan 23 05:22:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC3: Test login user unsuccessfully with incorrect email and password","1261","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Fri Jan 23 05:22:42 UTC 2026","passed","Fri Jan 23 05:22:43 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC8: Test verify all products and product detail page","6427","verifyAllProductAndProductDetailPage","Regression Suite","Fri Jan 23 05:23:40 UTC 2026","passed","Fri Jan 23 05:23:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC12: Test add product in Cart","3760","addProductInCart","Regression Suite","Fri Jan 23 05:22:23 UTC 2026","passed","Fri Jan 23 05:22:27 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
