"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC4: Test logout user successfully","6738","logoutUser","Regression Suite","Tue Feb 03 23:22:33 UTC 2026","passed","Tue Feb 03 23:22:40 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC8: Test verify all products and product detail page","1371","verifyAllProductAndProductDetailPage","Regression Suite","Tue Feb 03 23:23:02 UTC 2026","passed","Tue Feb 03 23:23:03 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
"TC11: Verify subscription in Cart page","1098","subscriptionInCartPage","Regression Suite","Tue Feb 03 23:22:59 UTC 2026","passed","Tue Feb 03 23:23:00 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC2: Test login user successfully with correct email and password","6347","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Tue Feb 03 23:22:23 UTC 2026","passed","Tue Feb 03 23:22:30 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC5: Test register user with existing email","7217","registerUserWithExistingEmail","Regression Suite","Tue Feb 03 23:22:48 UTC 2026","passed","Tue Feb 03 23:22:55 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC1: Test register user and delete user account successfully","5743","registerAndDeleteUserAccountSuccessfully","Regression Suite","Tue Feb 03 23:22:41 UTC 2026","passed","Tue Feb 03 23:22:46 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC6: Test contact us form","2499","contactUsForm","Regression Suite","Tue Feb 03 23:22:19 UTC 2026","passed","Tue Feb 03 23:22:22 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC10: Verify subscription in home page","417","subscriptionInHomePage","Regression Suite","Tue Feb 03 23:23:01 UTC 2026","passed","Tue Feb 03 23:23:01 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC12: Test add product in Cart","12228","addProductInCart","Regression Suite","Tue Feb 03 23:22:06 UTC 2026","broken","Tue Feb 03 23:22:18 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC3: Test login user unsuccessfully with incorrect email and password","1250","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Tue Feb 03 23:22:31 UTC 2026","passed","Tue Feb 03 23:22:32 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC7: Test verify test cases page","441","verifyTestCasesPage","Regression Suite","Tue Feb 03 23:23:04 UTC 2026","passed","Tue Feb 03 23:23:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC9: Test search product","1446","searchProduct","Regression Suite","Tue Feb 03 23:22:56 UTC 2026","passed","Tue Feb 03 23:22:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
